Command Name Abbreviation,Command Name Long,Record Status
DCEI                                                        ,DEP COMM EQUITY & INCLUSION,Active
DCER                                                        ,DEP COMM EMPLOYEE RELATIONS,Active
DCER CU                                                     ,NA,Inactive
DCINTCT                                                     ,DEP COMM INTEL & COUNTERTERRORISM,Active
DCLR                                                        ,DEP COMM LABOR RELATIONS,Active
DCMB                                                        ,DEP COMM MANAGEMENT & BUDGET,Active
DCMB INV                                                    ,DCMB INVESTIGATIONS UNIT,Active
DCSC                                                        ,DEP COMM STRATEGIC COMMUNICATIONS,Active
DCSI                                                        ,DEP COMM STRATEGIC INITIATIVES,Inactive
DCSI ORI                                                    ,DCSI OFF OF RESEARCH & INNOV,Active
DCSI PMO                                                    ,DCSI PROJECT MANAGEMENT OFFICE,Active
DCU TACT TRN                                                ,TACTICAL TRAINING UNIT,Active
DESIGN&EVAL                                                 ,DCSI DESIGN & EVAL OFFICE,Active
DET BUR                                                     ,DETECTIVE BUREAU,Active
DET BUR                                                     ,OFFICE OF THE CHIEF OF DETECTIVES,Active
DIR TRN                                                     ,NA,Inactive
DIS CTL                                                     ,DISORDER CONTROL UNIT,Active
DOC FRAUD SQD                                               ,DOCUMENT FRAUD SQUAD,Active
DPT ADV                                                     ,NA,Inactive
DPT INV                                                     ,DEPT OF INVESTIGATION SQUAD,Active
DR.ED&T                                                     ,NA,Inactive
DRIVE ED & TRN                                              ,DRIVER EDUCATION & TRAINING UNIT,Active
DRUG ENF TF                                                 ,DRUG ENFORCEMENT TASK FORCE,Active
E S U                                                       ,NA,Inactive
EEO DIV                                                     ,EQUAL EMPLOYMENT OPPORTUNITY DIV,Active
EEO INV UNIT                                                ,EEO INVESTIGATIONS UNIT,Active
ELECTRONICS                                                 ,LSSD ELECTRONICS SECTION,Active
EM OPS                                                      ,NA,Inactive
EMER OPS DIV                                                ,EMERGENCY OPERATIONS DIVISION,Active
EMP REL                                                     ,NA,Inactive
EMPL RESOURCE                                               ,EMPLOYEE RESOURCES SECTION,Active
EPE RECOVERY TF                                             ,OPS EPE RECOVERY TASK FORCE,Active
EQP SEC                                                     ,NA,Inactive
EQUIPMENT                                                   ,EQUIPMENT SECTION,Active
ESS 01                                                      ,EMER SERV SQ 01,Active
ESS 02                                                      ,EMER SERV SQ 02,Active
ESS 03                                                      ,EMER SERV SQ 03,Active
ESS 04                                                      ,EMER SERV SQ 04,Active
ESS 05                                                      ,EMER SERV SQ 05,Active
ESS 06                                                      ,EMER SERV SQ 06,Active
ESS 07                                                      ,EMER SERV SQ 07,Active
ESS 08                                                      ,EMER SERV SQ 08,Active
ESS 09                                                      ,EMER SERV SQ 09,Active
ESS 10                                                      ,EMER SERV SQ 10,Active
ESU                                                         ,EMERGENCY SERVICES UNIT,Active
ESU CAN                                                     ,NA,Inactive
ESU K9                                                      ,ESU CANINE TEAM,Active
F S D                                                       ,NA,Inactive
F S S                                                       ,FIREARMS SUPPRESSION SECTION,Active
F.T.S.                                                      ,NA,Inactive
FACIL MGMT                                                  ,FACILITIES MANAGEMENT DIVISION,Active
FAM ASSIST                                                  ,FAMILY ASSISTANCE SECTION,Active
FAM EXEMPT                                                  ,FAS EXEMPT HARDSHIP,Active
FAM SEC                                                     ,NA,Inactive
FAM SUPP TEAM                                               ,FAS SUPPORT TEAM,Active
FIN CRM SEC                                                 ,CEIS FINANCIAL CRIMES SECTION,Active
FIREARMS INV                                                ,FIREARMS INVESTIGATION UNIT,Active
FIS DIV                                                     ,NA,Inactive
FISCAL AFF                                                  ,FISCAL AFFAIRS DIVISION,Active
FLT SRV                                                     ,FLEET SERVICES DIVISION,Active
FLT SVC                                                     ,NA,Inactive
FM DIV                                                      ,NA,Inactive
FM SEC                                                      ,FACILITY MAINTENANCE SECTION,Active
FOR INV                                                     ,NA,Inactive
FORCE ID                                                    ,FORCE INVESTIGATION DIVISION,Active
FORCE ID Z1                                                 ,FORCE ID ZONE 1 (M/BX),Active
FORCE ID Z2                                                 ,FORCE ID ZONE 2 (BK/QNS/SI),Active
FORCEID                                                     ,NA,Inactive
FRAUD COL IN                                                ,CEIS FRAUD COLLISION INV SQUAD,Active
FTS                                                         ,FIREARMS & TACTICS SECTION,Active
FUG ENF                                                     ,NA,Inactive
GANG BN                                                     ,NA,Inactive
GANG BS                                                     ,NA,Inactive
GANG BX                                                     ,NA,Inactive
GANG DV                                                     ,NA,Inactive
GANG ID                                                     ,NA,Inactive
GANG IU                                                     ,NA,Inactive
GANG M                                                      ,NA,Inactive
GANG MN                                                     ,NA,Inactive
GANG MS                                                     ,NA,Inactive
GANG Q                                                      ,NA,Inactive
GANG QN                                                     ,NA,Inactive
GANG QS                                                     ,NA,Inactive
GANG SI                                                     ,NA,Inactive
GLD ZN 1                                                    ,GRAND LARCENY DIV ZONE 1,Active
GRANTS UNIT                                                 ,GRANTS UNIT,Active
GUN OFFDR MONT                                              ,GUN OFFENDER MONITORING UNIT,Active
GVS DIV                                                     ,NA,Inactive
GVSD GUN REC                                                ,GVSD GUN RECIDIVIST INV PROG,Active
GVSD JFTF                                                   ,GVSD JOINT FIREARMS TASK FORCE,Active
GVSD Z1                                                     ,"GUN VIOL SUPP DIV Z1 (BK,Q,SI)",Active
GVSD Z1 VRTF                                                ,GVSD Z1 VIOLENCE RED T/F,Active
GVSD Z2                                                     ,"GUN VIOL SUPP DIV Z2 (MAN,BX)",Active
GVSD Z2 VRTF                                                ,GVSD Z2 VIOLENCE RED T/F,Active
H BKLYN                                                     ,HOUSING BOROUGH BROOKLYN,Active
H BX/Q                                                      ,HOUSING BOROUGH BRONX/QUEENS,Active
H INV U                                                     ,HOUSING INVESTIGATIONS UNIT,Active
H MAN                                                       ,NA,Inactive
